sigla_uf,area_ha,categoria,ano,terrai_nom,fase_ti,id,nome,geocodigo
MT,28.9763582472,não autorizada,2016,Menkü,Delimitada,615.0,Brasnorte,5101902
MT,25.2086507167,não autorizada,2015,Roosevelt,Regularizada,3119.0,Espigão D'Oeste,1100098
MT,25.2086507167,não autorizada,2015,Roosevelt,Regularizada,609.0,Rondolândia,5107578
MT,300.542156251,não autorizada,2015,Roosevelt,Regularizada,3119.0,Espigão D'Oeste,1100098
MT,300.542156251,não autorizada,2015,Roosevelt,Regularizada,609.0,Rondolândia,5107578
MT,249.491929843,não autorizada,2015,Roosevelt,Regularizada,3119.0,Espigão D'Oeste,1100098
MT,249.491929843,não autorizada,2015,Roosevelt,Regularizada,609.0,Rondolândia,5107578
MT,28.9839302044,não autorizada,2015,Roosevelt,Regularizada,609.0,Rondolândia,5107578
MT,92.86499723,não autorizada,2015,Manoki,Declarada,615.0,Brasnorte,5101902
MT,247.436789904,não autorizada,2015,Manoki,Declarada,615.0,Brasnorte,5101902
MT,115.846120623,não autorizada,2015,Manoki,Declarada,615.0,Brasnorte,5101902
MT,56.819069814,não autorizada,2015,Manoki,Declarada,615.0,Brasnorte,5101902
MT,63.2953723439,não autorizada,2015,Manoki,Declarada,615.0,Brasnorte,5101902
MT,29.8920667755,não autorizada,2015,Menkü,Delimitada,615.0,Brasnorte,5101902
MT,103.374534188,não autorizada,2015,Menkü,Delimitada,615.0,Brasnorte,5101902
MT,103.374534188,não autorizada,2015,Menkü,Regularizada,615.0,Brasnorte,5101902
MT,116.479244217,não autorizada,2015,Manoki,Declarada,615.0,Brasnorte,5101902
MT,30.6577147268,não autorizada,2015,Manoki,Declarada,615.0,Brasnorte,5101902
MT,28.2587881527,não autorizada,2015,Kayabi,Regularizada,1011.0,Apiacás,5100805
MT,87.2164945478,não autorizada,2015,Menkü,Delimitada,615.0,Brasnorte,5101902
MT,443.570553612,não autorizada,2015,Batelão,Delimitada,593.0,Juara,5105101
MT,443.570553612,não autorizada,2015,Batelão,Delimitada,1880.0,Tabaporã,5107941
MT,102.244347349,não autorizada,2015,Batelão,Delimitada,1880.0,Tabaporã,5107941
MT,34.1860976755,não autorizada,2015,Manoki,Declarada,615.0,Brasnorte,5101902
MT,42.9219076691,não autorizada,2015,Manoki,Declarada,615.0,Brasnorte,5101902
MT,7.57632880466,não autorizada,2015,Batelão,Delimitada,1880.0,Tabaporã,5107941
MT,229.974048164,não autorizada,2014,Batelão,Delimitada,1880.0,Tabaporã,5107941
MT,300.249799293,não autorizada,2014,Apiaka/Kayabi,Regularizada,593.0,Juara,5105101
MT,118.343523287,não autorizada,2014,Apiaka/Kayabi,Regularizada,593.0,Juara,5105101
MT,101.774704735,não autorizada,2014,Apiaka/Kayabi,Regularizada,593.0,Juara,5105101
MT,133.673356051,não autorizada,2014,Manoki,Declarada,615.0,Brasnorte,5101902
MT,432.949507044,não autorizada,2014,Parque do Xingu,Regularizada,2225.0,Marcelândia,5105580
MT,171.704779624,não autorizada,2014,Escondido,Regularizada,2194.0,Cotriguaçu,5103379
MT,150.03737011,não autorizada,2014,Arara do Rio Branco,Regularizada,643.0,Colniza,5103254
MT,140.100286762,não autorizada,2014,Arara do Rio Branco,Regularizada,643.0,Colniza,5103254
MT,50.3373144604,não autorizada,2014,Arara do Rio Branco,Regularizada,643.0,Colniza,5103254
MT,115.909348915,não autorizada,2014,Arara do Rio Branco,Regularizada,643.0,Colniza,5103254
MT,226.97934346,não autorizada,2014,Aripuanã,Regularizada,1135.0,Aripuanã,5101407
MT,237.818203217,não autorizada,2014,Aripuanã,Regularizada,1135.0,Aripuanã,5101407
MT,77.6747051801,não autorizada,2014,Aripuanã,Regularizada,1135.0,Aripuanã,5101407
