sigla_uf,area_ha,categoria,ano,name,sub_class,nome,geocodigo
MT,3.16686568026,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,177.480798116,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,25.5286208771,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,32.4041569048,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,6.74270204266,não autorizada,2017,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,12.267864231,não autorizada,2017,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,93.1908086385,não autorizada,2017,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,14.1824404909,não autorizada,2017,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,147.970080977,não autorizada,2017,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,62.5760879355,não autorizada,2017,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,8.90314744193,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,43.0309598356,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,15.2459679314,não autorizada,2019,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,12.3690988526,não autorizada,2019,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,68.7661833592,não autorizada,2019,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,7.98248957414,não autorizada,2019,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,497.835593901,não autorizada,2019,GLEBA JARINÃ,ND_I,Peixoto de Azevedo,5106422
MT,171.259435048,não autorizada,2019,PIRAJU,ND_B,Marcelândia,5105580
MT,37.7871816194,não autorizada,2019,PDS  SONHO DE ANDERSON,ND_I,União do Sul,5108303
MT,125.760363849,não autorizada,2019,PDS  SONHO DE ANDERSON,ND_I,União do Sul,5108303
MT,70.2181981049,não autorizada,2019,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,198.392656309,não autorizada,2019,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,277.137955774,não autorizada,2019,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,192.823211818,não autorizada,2019,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,117.238608134,não autorizada,2019,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,75.6319553623,não autorizada,2019,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,99.9895712505,não autorizada,2019,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,80.7145829149,não autorizada,2019,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,139.169126195,não autorizada,2019,PERSEVERANÇA,ND_B,Colniza,5103254
MT,83.9999820719,não autorizada,2019,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,40.7822685989,não autorizada,2019,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,671.526959165,não autorizada,2019,FAZENDA SÃO LEOPOLDO,ND_B,Paranatinga,5106307
MT,548.365587257,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,144.81364966,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,19.1908069608,não autorizada,2018,GLEBA GUARIBA,ND_I,Colniza,5103254
