sigla_uf,area_ha,categoria,ano,Municipio,nome,geocodigo
MT,606.37616547537,autorizada,2018,Santa Carmem,Santa Carmem,5107248
MT,107.20483666753,autorizada,2018,Santa Carmem,Santa Carmem,5107248
MT,782.29731704107,autorizada,2018,Santa Carmem,Santa Carmem,5107248
MT,551.50105902036,autorizada,2018,Santa Carmem,Santa Carmem,5107248
MT,165.86152246353,autorizada,2018,Santa Carmem,Santa Carmem,5107248
MT,240.16604433771,autorizada,2018,Santa Carmem,Santa Carmem,5107248
MT,577.6813318742,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,302.75707668286,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,580.56014385346,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,392.07256198494,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,1932.33686565556,autorizada,2018,Feliz Natal,Santa Carmem,5107248
MT,1932.33686565556,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,1551.23047465173,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,554.07451697837,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,154.12066627632,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,81.34208645155,autorizada,2018,Cláudia,Cláudia,5103056
MT,208.94144861179,autorizada,2018,Marcelândia,Marcelândia,5105580
MT,1065.65908112858,autorizada,2018,União do Sul,União do Sul,5108303
MT,330.25378525598,autorizada,2018,União do Sul,União do Sul,5108303
MT,396.30321727132,autorizada,2018,União do Sul,União do Sul,5108303
MT,61.09910445951,autorizada,2018,União do Sul,União do Sul,5108303
MT,248.30736464802,autorizada,2018,União do Sul,União do Sul,5108303
MT,71.77422206671,autorizada,2018,Cláudia,Cláudia,5103056
MT,957.30209609392,autorizada,2018,Cláudia,Cláudia,5103056
MT,59.41660974938,autorizada,2018,Itaúba,Itaúba,5104559
MT,371.09153761853,autorizada,2018,Itaúba,Itaúba,5104559
MT,715.16513077399,autorizada,2018,Itaúba,Itaúba,5104559
MT,107.75316527548,autorizada,2018,Sinop,Sinop,5107909
MT,122.42567409637,autorizada,2018,Cláudia,Cláudia,5103056
MT,346.57610245999,autorizada,2018,Cláudia,Cláudia,5103056
MT,485.4760554082,autorizada,2018,Santa Carmem,Santa Carmem,5107248
MT,129.32798785156,autorizada,2018,União do Sul,União do Sul,5108303
MT,260.85901304536,autorizada,2018,União do Sul,União do Sul,5108303
MT,62.33832511639,autorizada,2018,União do Sul,União do Sul,5108303
MT,666.49485997241,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,118.28128497736,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,184.75663733402,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,33.81240327712,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,412.41779384741,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,98.46774327827,autorizada,2018,Santa Carmem,Santa Carmem,5107248
